Date,Open,Close,High,Low
2019-11-04,91.24,93.02,93.11,91.24
2019-11-01,89.87,90.76,90.99,89.42
2019-10-31,90.93,89.87,90.93,89.09
2019-10-30,92.81,90.67,93.1,89.98
2019-10-29,93.4,93.27,93.79,92.63
2019-10-28,93.14,93.38,93.67,92.82
2019-10-25,92.91,93.15,93.3,92.21
2019-10-24,93.49,92.88,94.35,92.56
2019-10-23,92.79,93.43,93.53,92.22
2019-10-22,93.37,93.17,93.93,92.63
2019-10-21,91.62,93.38,93.89,91.62
2019-10-18,91.06,91.4,92.09,90.81
2019-10-17,91.76,91.29,93.41,91.21
2019-10-16,90.95,91.93,92.55,90.01
2019-10-15,88.89,90.88,90.98,88.63
2019-10-14,88.79,88.55,88.79,87.5
2019-10-11,85.62,89.02,89.02,85.62
2019-10-10,83.26,85.65,85.65,83.26
2019-10-09,82.87,83.15,83.72,82.58
2019-10-08,84.08,82.9,84.42,81.89
2019-10-07,83.26,83.99,84.16,82.52
2019-10-04,83.32,83.4,83.48,82.39
2019-10-03,83.52,83.29,84.05,82.43
2019-10-02,86.2,83.47,86.45,83.47
2019-10-01,87.83,86.38,88.66,86.38
2019-09-30,87.18,87.7,88.16,87.16
2019-09-27,86.28,87.15,87.5,86.02
2019-09-26,86.32,86.2,86.47,85.4
2019-09-25,86.12,86.32,86.32,83.97
2019-09-24,87.1,86.29,87.88,86.13
2019-09-23,89.4,86.98,89.4,86.48
2019-09-20,88.69,89.45,89.66,88.24
2019-09-19,86.85,88.74,88.76,86.85
2019-09-18,87.0,86.64,87.47,86.64
2019-09-17,89.0,86.99,89.0,86.8
2019-09-16,90.21,89.05,90.21,88.43
2019-09-13,88.05,90.37,90.42,88.05
2019-09-12,87.5,87.72,89.13,85.24
2019-09-11,87.72,87.51,89.18,86.86
2019-09-10,86.1,87.69,88.1,85.6
2019-09-09,83.9,86.11,86.11,83.9
2019-09-06,83.89,83.83,84.72,83.24
2019-09-05,81.2,83.82,83.89,81.2
2019-09-04,80.32,81.1,81.68,80.32
2019-09-03,80.54,80.13,80.77,79.58
2019-09-02,80.66,80.51,81.19,80.31
2019-08-30,80.74,80.66,81.69,80.39
2019-08-29,79.58,80.69,81.44,79.46
2019-08-28,79.66,79.64,79.92,78.99
2019-08-27,79.61,79.62,80.49,79.22
2019-08-26,78.77,79.61,80.01,78.57
2019-08-23,80.73,78.82,81.26,78.82
2019-08-22,79.19,80.36,81.18,78.98
2019-08-21,79.08,79.31,80.06,79.08
2019-08-20,79.81,79.0,79.83,78.61
2019-08-19,79.89,79.96,81.49,79.89
2019-08-16,77.5,79.84,79.98,76.67
2019-08-15,77.81,77.45,78.22,76.57
2019-08-14,79.96,77.62,79.96,77.3
2019-08-13,78.61,80.0,80.75,77.74
2019-08-12,80.85,78.72,81.25,78.72
2019-08-09,81.63,80.47,81.7,80.23
2019-08-08,81.09,82.57,82.94,80.91
2019-08-07,82.0,80.97,82.32,80.2
2019-08-06,82.78,81.78,83.14,81.78
2019-08-05,83.58,82.67,83.58,82.31
2019-08-02,86.14,83.85,86.14,83.48
2019-08-01,86.15,86.69,87.71,85.95
2019-07-31,86.33,86.21,87.18,86.2
2019-07-30,88.74,86.18,88.74,85.73
2019-07-29,89.57,88.75,89.7,88.64
2019-07-26,90.31,89.56,90.31,89.31
2019-07-25,90.36,90.34,92.91,89.42
2019-07-24,90.35,90.29,90.42,89.22
