"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1"
2016-10-28,41.3450561504334,-1.34577959124227,0.366710249966907,0.0622342489862387,0.887008495646755,0.00358346604768741
2016-11-04,44.33731448391,-1.25395573825499,0.3044321847243,0.0651457581758093,0.894288105170003,0.00322060966867291
2016-11-11,44.0774202627678,-1.3058958487315,0.305560080447551,0.06509649095776,0.894049548244002,0.00325702643864784
2016-11-18,47.5292678375492,-1.27241759440216,0.315514455790412,0.0649168076387856,0.892196222786024,0.00344242225243909
2016-11-25,45.7719885384606,-1.2658234626179,0.325432228642146,0.0664103884613597,0.889044323277605,0.00356088343519716
2016-12-02,40.1973066647333,-1.17791211927567,0.31063122472779,0.0647785195641494,0.893439279243173,0.00332383694060749
2016-12-09,37.301493135475,-1.12093605893924,0.56613830052919,0.0746507742339274,0.841831690832084,0.00587951768949274
2016-12-16,41.9673173418682,-1.0340462227299,0.319586843614203,0.0639359516412062,0.892410942006632,0.00349785434831488
2016-12-23,39.4825540336676,-0.874873025660141,0.336832402742618,0.0628419349313012,0.890084795519154,0.00373528222289795
2016-12-30,37.1149894012195,-0.647362091065734,0.576363679644459,0.07410845572201,0.836058880728612,0.00727222246477515
2017-01-06,35.5670322772695,-0.868450273862249,0.324357134268411,0.0620285330739698,0.892481647515306,0.00364729749797801
2017-01-13,34.3639152236091,-0.888358282513634,0.326481260621401,0.0628072053046398,0.891346146219993,0.00368615714098062
2017-01-20,35.3883395967223,-0.89134236412472,0.557476802023943,0.0676801870056825,0.846818207268625,0.00627951331955684
2017-01-27,33.8115855858156,-0.874608780351463,0.324585148684983,0.0623102527464734,0.892113302695498,0.0036641165000456
2017-02-03,32.0250609166557,-1.01368427017869,0.533981465029991,0.0651903176179944,0.854214909955073,0.0056950420952875
2017-02-10,33.0479541310375,-0.971870714823487,0.560289286038021,0.0660317071873385,0.848768987381506,0.00603465309815046
2017-02-17,33.8538173245667,-1.06155293372645,0.532103826789128,0.0645843888953007,0.85368920801024,0.00604470864154474
2017-02-24,32.5673760341314,-1.017423455117,0.28034737524869,0.0610077636305164,0.901610909414256,0.00301659739435803
2017-03-03,33.0423360462018,-0.982863619164323,0.53892247503683,0.0681472082071347,0.852989671484267,0.00523261676187329
2017-03-10,38.6672151897853,-0.938087142181772,0.539030143386171,0.0657736498942508,0.854115831273165,0.00545981433460401
2017-03-17,38.2923365886494,-0.988322746992188,0.307490551741243,0.0614288621224874,0.895504642941448,0.00361130747416761
2017-03-24,33.2713401782198,-0.901196539313882,0.315786559468843,0.0610543416619547,0.894484441636459,0.00367655400947235
2017-03-31,26.4730881688097,-0.933365255974421,0.313155438539944,0.0613454585694637,0.894620088605064,0.00366846902588111
2017-04-07,27.0861369402727,-1.02101448544479,0.29861452684274,0.0606004564558726,0.897941928414531,0.00347102556929628
2017-04-14,26.7452398642483,-0.98661208314114,0.292543697647172,0.0601143621154375,0.900604173428444,0.00308604253827348
2017-04-21,29.0048529426335,-0.888355787709881,0.304088050075703,0.0596273836797623,0.898349043025748,0.00340193241218247
2017-04-28,31.9014861944129,-0.829660886269362,0.318494525586005,0.05938935082957,0.896236876162297,0.0035250729209421
2017-05-05,34.3158064450595,-0.887180902387674,0.302330517170926,0.0597394383942379,0.898795582613122,0.00332442283505296
2017-05-12,36.6486498596812,-0.900727093674751,0.307123577954848,0.0606972972783407,0.896945445764221,0.00340557887606729
2017-05-19,36.7014868265743,-0.835534885712329,0.326983446645407,0.0602669319829156,0.893579242809131,0.00371536985005638
2017-05-26,34.6573328756188,-0.896211906133702,0.562131331006115,0.0630988720292126,0.851043113967222,0.00609529444017006
2017-06-02,31.044519899242,-0.830575943466283,0.3105220919911,0.0572276416921533,0.898329702267233,0.00370084343320428
2017-06-09,31.0626908278629,-0.944124792160495,0.298465264079764,0.0605818341771175,0.898565980911379,0.00331947020604034
2017-06-16,32.2368482300266,-0.990836375199541,0.35155109568018,0.063221733827616,0.8859444464889,0.00423495156132364
2017-06-23,33.2746573206843,-0.969747186913048,0.562124802512139,0.0715136120768228,0.841405878214888,0.00685690197697351
2017-06-30,30.5568125372206,-0.9370170600935,0.562675596875832,0.0707066066736171,0.842379063263757,0.00674914867204918
2017-07-07,30.4766598427603,-0.951683656098452,0.297648134366648,0.0599615558810312,0.898995522620545,0.00337814882960363
2017-07-14,32.2086989996986,-0.971930597919093,0.289848018519303,0.0595420635466747,0.900843076931016,0.00325127459522127
2017-07-21,29.2349605541816,-0.930854653996848,0.54094810918597,0.0623444784944731,0.856693550457338,0.00548857270518711
2017-07-28,30.2210122080722,-0.969722565208823,0.5355750969333,0.0626362937669758,0.855341971369037,0.00598907214482906
2017-08-04,30.6285104513202,-0.991462046133191,0.283467287792611,0.0597878278332312,0.902105260323288,0.00306370358673779
2017-08-11,29.706471962839,-0.990132455054496,0.529851250047163,0.0615582527078077,0.85817682556594,0.00566722431532274
2017-08-18,32.7199705037961,-0.997023029730778,0.536364178537511,0.0635779367723857,0.856102092197679,0.00554180763724883
2017-08-25,30.7766042735511,-1.02086570228023,0.287495749859589,0.059629851690838,0.900980952109755,0.00325313879432701
2017-09-01,30.7692920172014,-1.01839568503037,0.536458595047161,0.0621368134790009,0.855176551301937,0.00612079434695822
2017-09-08,26.4404221487426,-0.966341472243428,0.562848861233628,0.0639002012111257,0.850557337373562,0.0060207276828816
2017-09-15,26.6122094001165,-0.891632932896156,0.54046008908937,0.0606120049121561,0.858182816504028,0.00549206924731834
2017-09-22,28.637057717327,-0.801503419946863,0.325237035261126,0.0589163100140676,0.8953265140552,0.00360498554943763
2017-09-29,28.9018150282232,-0.803357956571899,0.285595838678844,0.0607141612101482,0.898982774734546,0.00364688102625472
2017-10-06,29.2707486842809,-0.847092559849855,0.539144148301437,0.0592149064223123,0.858056176530694,0.00588985512331346
2017-10-13,27.9769203275534,-0.82705824637562,0.223208422967952,0.0541412620315406,0.918488292396487,0.00203145059755771
2017-10-20,28.3585621146978,-0.717610913784749,0.248324722652678,0.0460800432046372,0.920712672380022,0.00233075948799346
2017-10-27,29.7749321283058,-0.653666591106775,0.31581571704791,0.0559767829425114,0.898974496257807,0.00362390244104294
2017-11-03,27.5370786250807,-0.597058119674234,0.238455115603446,0.0562164561284876,0.911836985647642,0.00291523344587621
2017-11-10,25.4702258820838,-0.617835135269732,0.339374360115591,0.05430521008401,0.89573146643952,0.00407532900301937
2017-11-17,25.3565338663202,-0.692500379442071,0.576056126695418,0.0716237831739117,0.838667735052804,0.00709661224156151
2017-11-24,24.9056786224577,-0.697218023659041,0.410400268737851,0.0647753850103741,0.873829022711309,0.00504548425385859
2017-12-01,23.0790491862493,-0.710240082082388,0.30331577752089,0.0569490155036428,0.899958609101931,0.00356826531762066
2017-12-08,23.202840212484,-0.703521175584899,0.299066742733399,0.0563561514295049,0.901266149395874,0.00350576127734533
2017-12-15,25.4034212508265,-0.632946174320537,0.312780679299178,0.0529771688223887,0.901215192866827,0.00385728725548098
2017-12-22,26.1225842100831,-0.621692079601797,0.307884511995065,0.0518259239876274,0.902953977354982,0.00383413909476095
2017-12-29,24.5241158573508,-0.469284267995157,0.451971219183777,0.0582301188220159,0.874387319742566,0.00491456995504312
2018-01-05,24.8195073117179,-0.36589521027011,0.180115953861496,0.0331989246422038,0.942940343676074,0.0016987044814973
2018-01-12,26.4154202227708,-0.236821535699009,0.423175491632735,0.0636568502728605,0.878089294499796,0.0037086252552926
2018-01-19,29.3588659002091,-0.287175000598125,0.303189890931736,0.0475844468985863,0.907103291964571,0.00381488995780784
2018-01-26,24.6287058286853,-0.447884294124698,0.227177595931776,0.0449136740021852,0.922359485621078,0.00304485591232087
