"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1","lam_Euribor6m_1"
2003-10-10,42.7495572418419,NA,NA,NA,NA,NA,NA
2003-10-17,40.3282982084561,NA,NA,NA,NA,NA,NA
2003-10-24,39.7956521428778,NA,NA,NA,NA,NA,NA
2003-10-31,40.2525822863401,NA,NA,NA,NA,NA,NA
2003-11-07,42.7419869038476,NA,NA,NA,NA,NA,NA
2003-11-14,42.1820381497502,NA,NA,NA,NA,NA,NA
2003-11-21,36.2012928650232,NA,NA,NA,NA,NA,NA
2003-11-28,37.2931813927952,NA,NA,NA,NA,NA,NA
2003-12-05,38.6387883490932,NA,NA,NA,NA,NA,NA
2003-12-12,38.9919959462193,NA,NA,NA,NA,NA,NA
2003-12-19,33.5637632659474,NA,NA,NA,NA,NA,NA
2003-12-26,31.7713832004091,NA,NA,NA,NA,NA,NA
2004-01-02,19.7087111149583,NA,NA,NA,NA,NA,NA
2004-01-09,22.3861902777132,NA,NA,NA,NA,NA,NA
2004-01-16,21.5861155973968,NA,NA,NA,NA,NA,NA
2004-01-23,22.4851295214789,NA,NA,NA,NA,NA,NA
2004-01-30,22.9490911228811,NA,NA,NA,NA,NA,NA
2004-02-06,24.4674554546709,NA,NA,NA,NA,NA,NA
2004-02-13,18.0562805509981,NA,NA,NA,NA,NA,NA
2004-02-20,18.5781220102008,NA,NA,NA,NA,NA,NA
2004-02-27,18.8749937119461,NA,NA,NA,NA,NA,NA
2004-03-05,18.847055333775,NA,NA,NA,NA,NA,NA
2004-03-12,19.9193060218165,NA,NA,NA,NA,NA,NA
2004-03-19,22.6738486665977,NA,NA,NA,NA,NA,NA
2004-03-26,24.9775553233464,NA,NA,NA,NA,NA,NA
2004-04-02,20.4705680811289,NA,NA,NA,NA,NA,NA
2004-04-09,23.7522426779444,NA,NA,NA,NA,NA,NA
2004-04-16,24.6217458034184,NA,NA,NA,NA,NA,NA
2004-04-23,24.9297331947418,NA,NA,NA,NA,NA,NA
2004-04-30,24.3918166722671,NA,NA,NA,NA,NA,NA
2004-05-07,26.6750274631995,NA,NA,NA,NA,NA,NA
2004-05-14,28.1583944867623,NA,NA,NA,NA,NA,NA
2004-05-21,28.6210868297754,NA,NA,NA,NA,NA,NA
2004-05-28,27.902061384863,NA,NA,NA,NA,NA,NA
2004-06-04,26.6168362014636,NA,NA,NA,NA,NA,NA
2004-06-11,27.5845477583091,NA,NA,NA,NA,NA,NA
2004-06-18,25.5692482436871,NA,NA,NA,NA,NA,NA
2004-06-25,25.2390290306297,NA,NA,NA,NA,NA,NA
2004-07-02,24.7867472322801,NA,NA,NA,NA,NA,NA
2004-07-09,24.5365285293884,NA,NA,NA,NA,NA,NA
2004-07-16,24.149980611265,NA,NA,NA,NA,NA,NA
2004-07-23,25.2625700062364,NA,NA,NA,NA,NA,NA
2004-07-30,25.4872025665408,NA,NA,NA,NA,NA,NA
2004-08-06,26.6519028241519,NA,NA,NA,NA,NA,NA
2004-08-13,28.0262664405251,NA,NA,NA,NA,NA,NA
2004-08-20,27.780430674856,NA,NA,NA,NA,NA,NA
2004-08-27,28.3729571618293,NA,NA,NA,NA,NA,NA
2004-09-03,30.0409926949395,NA,NA,NA,NA,NA,NA
2004-09-10,30.6103121203986,NA,NA,NA,NA,NA,NA
2004-09-17,26.7135368601738,NA,NA,NA,NA,NA,NA
2004-09-24,27.722018650107,NA,NA,NA,NA,NA,NA
2004-10-01,27.0625685449625,NA,NA,NA,NA,NA,NA
2004-10-08,27.6460283340326,NA,NA,NA,NA,NA,NA
2004-10-15,27.8502556188336,NA,NA,NA,NA,NA,NA
2004-10-22,25.4159583605259,NA,NA,NA,NA,NA,NA
2004-10-29,24.4559197704199,NA,NA,NA,NA,NA,NA
2004-11-05,24.3790759506361,NA,NA,NA,NA,NA,NA
2004-11-12,25.7481065708584,NA,NA,NA,NA,NA,NA
2004-11-19,24.0494233513035,NA,NA,NA,NA,NA,NA
2004-11-26,16.6066563107445,NA,NA,NA,NA,NA,NA
2004-12-03,16.7345037505971,NA,NA,NA,NA,NA,NA
2004-12-10,16.725368391828,NA,NA,NA,NA,NA,NA
2004-12-17,14.7739226057506,NA,NA,NA,NA,NA,NA
2004-12-24,15.3153129212653,NA,NA,NA,NA,NA,NA
2004-12-31,16.6697476721416,NA,NA,NA,NA,NA,NA
2005-01-07,15.9561793270655,NA,NA,NA,NA,NA,NA
2005-01-14,17.8907344048964,NA,NA,NA,NA,NA,NA
2005-01-21,17.7620011367258,NA,NA,NA,NA,NA,NA
2005-01-28,16.8374840468449,NA,NA,NA,NA,NA,NA
2005-02-04,15.9015220550693,NA,NA,NA,NA,NA,NA
2005-02-11,17.6586854591982,NA,NA,NA,NA,NA,NA
2005-02-18,19.1253632278955,NA,NA,NA,NA,NA,NA
